ResponseId,id,cpq,mdpq,wnpq,all_proficiency,hardware,software,imm_sum,delay_sum,constraints,mastery,useful,map,volunteer,charity,plan,dental,pay_prescription,pay_hospital,visual,limitations,checking,retirement,vehicle,inheritance_1,debts,age,sage,education,gender,hispanic,race,couple,shealth,hearing,vision,alcohol,effort,adopt_age,duration
r_1m6w3ebrevd0aq0,582c83a0bbb67e0001e49ec1,50.0,57.0,30.0,137.0,3.0,19.0,6,5,19.0,26.0,12.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,100.0,1.0,65.0,50.0,17.0,1.0,0.0,1.0,0.0,4.0,4.0,4.0,1.0,1.0,45.0,1537
r_v1j9fhzvmtlwld7,60f838095603e27ca51820a7,50.0,68.0,38.0,156.0,3.0,30.0,8,7,15.0,26.0,15.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,40.0,0.0,64.0,50.0,16.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,40.0,1294
r_3d6yiypezneaw3h,5f33f5c671dbfc2622aecda4,50.0,63.0,26.0,139.0,3.0,22.0,7,7,49.0,10.0,12.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,64.0,64.0,12.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,38.0,801
r_2eyl9rm7eb4m5xu,5cd062370081a60017789079,50.0,68.0,40.0,158.0,5.0,25.0,5,7,8.0,28.0,14.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,100.0,0.0,61.0,50.0,16.0,0.0,0.0,1.0,0.0,4.0,4.0,4.0,1.0,1.0,32.0,665
r_08pona3l1bpbxuj,614fab0f635698115ad9c784,47.0,66.0,35.0,148.0,5.0,30.0,7,5,20.0,24.0,15.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,100.0,1.0,63.0,52.0,16.0,0.0,0.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,40.0,963
r_28nb7qvtjat3e3s,57509d9b363e77000695620b,50.0,64.0,36.0,150.0,6.0,23.0,8,6,15.0,25.0,15.0,1.0,0.0,0.0,1.0,1.0,,,4.0,7.0,1.0,1.0,1.0,30.0,1.0,68.0,50.0,14.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,0.0,1.0,41.0,805
r_1gbvp9p30wuksx6,5ba286e8821f7600011d09f2,46.0,49.0,21.0,116.0,5.0,22.0,6,5,26.0,21.0,13.0,1.0,0.0,0.0,0.0,1.0,,,4.0,2.0,1.0,0.0,1.0,70.0,1.0,62.0,62.0,12.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,0.0,1.0,45.0,1302
r_2zjjtiq6qcnbdct,58e558cc728bea0001bbda24,47.0,26.0,18.0,91.0,3.0,18.0,4,4,21.0,20.0,12.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,42.0,0.0,64.0,50.0,12.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,0.0,1.0,32.0,934
r_ag5mgtdtk0tmsr7,5e8ba701c2bb4d085e04cd58,48.0,64.0,22.0,134.0,4.0,24.0,7,7,34.0,16.0,15.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,100.0,0.0,64.0,60.0,17.0,0.0,0.0,1.0,1.0,3.0,4.0,4.0,1.0,0.0,37.0,1026
r_2rtayqa7i5xz91x,615f039aac8a519d7c42a60e,49.0,67.0,36.0,152.0,4.0,30.0,8,7,12.0,25.0,12.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,85.0,1.0,63.0,45.0,16.0,1.0,0.0,1.0,1.0,4.0,2.0,3.0,0.0,1.0,37.0,1395
r_2pwsm6shqsqe0ze,60b4277a6c6540693acdd766,47.0,62.0,27.0,136.0,5.0,23.0,8,7,24.0,18.0,15.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,100.0,1.0,65.0,65.0,19.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,1.0,1.0,40.0,1172
