ResponseId,id,cpq,mdpq,wnpq,all_proficiency,hardware,software,imm_sum,delay_sum,constraints,mastery,useful,map,volunteer,charity,plan,dental,pay_prescription,pay_hospital,visual,limitations,checking,retirement,vehicle,inheritance_1,debts,age,sage,education,gender,hispanic,race,couple,shealth,hearing,vision,alcohol,effort,adopt_age,duration
r_3fjdihpjdg9ecc9,60d1220ee97a3b16edd3c882,48.0,68.0,37.0,153.0,3,24,0,0,37.0,22.0,12.0,0.0,0.0,0.0,1.0,1.0,,,2.0,0.0,1.0,0.0,1.0,0.0,1.0,26,22,13.0,0,1,5,0,2.0,4.0,4.0,1.0,0.0,11,721
r_1jem0pbbflu9ghm,5ab56fdff69e940001d8da97,48.0,66.0,33.0,147.0,3,23,7,7,30.0,17.0,9.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,34,34,18.0,0,0,1,0,4.0,4.0,3.0,1.0,0.0,10,1378
r_1gscne5q79j1xwh,6146896c628ef8ccdb2abf0a,49.0,68.0,38.0,155.0,5,32,9,9,14.0,26.0,15.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,87.0,1.0,25,25,18.0,0,0,1,0,3.0,4.0,5.0,0.0,0.0,10,476
r_3pdzevya5xzglcv,61202b6be797314915cb1bd7,44.0,67.0,24.0,135.0,4,25,0,0,27.0,23.0,15.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,1.0,19,20,13.0,0,0,1,0,3.0,5.0,4.0,0.0,1.0,4,944
r_1jya6pjntcu95ej,61003dc52ef1560d130aa57b,42.0,66.0,34.0,142.0,6,26,6,6,20.0,24.0,15.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,30.0,0.0,18,18,12.5,0,0,1,0,3.0,5.0,4.0,1.0,0.0,8,1158
r_1i3hnzik4bfxuwz,60fd700494c27e5a2fefcbb3,50.0,68.0,39.0,157.0,6,33,9,9,26.0,19.0,13.0,1.0,0.0,0.0,1.0,1.0,,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,20,19,16.0,0,1,5,0,4.0,4.0,4.0,0.0,0.0,13,955
r_2dumtzh1j3fgm9o,5de0b69ba91be311cb773b0b,42.0,64.0,28.0,134.0,4,24,9,9,25.0,20.0,13.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,20,20,12.0,1,0,1,0,2.0,3.0,4.0,0.0,1.0,6,880
r_33p32nh4uoqte39,610acd87ab6f19f9e208fd3f,48.0,68.0,31.0,147.0,6,28,0,0,25.0,26.0,12.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,70.0,1.0,22,22,14.0,0,0,1,1,3.0,3.0,4.0,1.0,0.0,7,1142
r_1klsgk3pclo7jaq,5cf1eed7a602eb0001e2e850,48.0,63.0,36.0,147.0,4,25,0,0,10.0,27.0,13.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,78.0,0.0,23,20,16.0,1,0,1,0,5.0,5.0,4.0,0.0,1.0,5,532
r_w6puumfeoz4kjg5,5f76b772b481f416049766e8,47.0,67.0,39.0,153.0,3,22,6,4,37.0,20.0,12.0,1.0,0.0,0.0,0.0,1.0,,,2.0,0.0,1.0,0.0,1.0,0.0,0.0,23,17,12.0,1,0,1,0,3.0,4.0,4.0,0.0,1.0,8,2010
r_39rqralnmdn4vft,5bfc9065ce028e0001337c3c,50.0,68.0,40.0,158.0,6,28,9,6,12.0,28.0,15.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,90.0,1.0,27,27,16.0,1,0,2,0,5.0,5.0,5.0,1.0,1.0,6,1205
r_2bo0desz6m6mmjj,55ea70c37480920010aa9982,47.0,65.0,25.0,137.0,4,21,9,9,24.0,19.0,13.0,1.0,0.0,0.0,0.0,0.0,,,4.0,0.0,1.0,0.0,1.0,65.0,1.0,34,30,13.0,1,0,2,0,4.0,5.0,4.0,0.0,1.0,11,866
r_x4bpdkc7wpfnva9,6115420595b02ce5d51281f0,50.0,68.0,40.0,158.0,5,29,6,2,36.0,20.0,15.0,1.0,0.0,1.0,0.0,1.0,,,3.0,0.0,1.0,1.0,1.0,100.0,1.0,35,30,16.0,1,0,1,0,3.0,3.0,3.0,1.0,0.0,9,1350
r_rp2sydllraervrr,60fe45c6e405df9b2eaf70fb,48.0,66.0,24.0,138.0,3,26,8,8,45.0,17.0,14.0,1.0,0.0,0.0,1.0,1.0,,,3.0,0.0,1.0,0.0,0.0,50.0,1.0,25,20,19.0,0,0,3,0,4.0,4.0,4.0,1.0,0.0,10,1020
r_2qqxg2gqdnh6578,609d7407fffe06ba76af6b98,50.0,65.0,35.0,150.0,6,33,6,5,22.0,21.0,13.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,100.0,0.0,22,18,15.0,1,1,1,0,2.0,3.0,5.0,1.0,0.0,11,855
r_3g0h4bz4dx2fybm,610285fc3c8e866a25c4d33f,47.0,64.0,28.0,139.0,3,27,0,0,23.0,27.0,11.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,10.0,1.0,32,35,14.0,1,0,1,1,4.0,3.0,3.0,1.0,1.0,14,1088
r_2tlhdmnc5xwph14,60fcac2063bbc8bce2700ad5,48.0,66.0,30.0,144.0,3,25,0,0,23.0,22.0,10.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,1.0,10.0,0.0,20,20,12.0,0,0,1,0,2.0,2.0,3.0,0.0,0.0,8,944
r_2cibgr0sid74rux,60ef6073d7d6db28220a84ba,50.0,68.0,34.0,152.0,6,27,5,8,30.0,20.0,14.0,1.0,0.0,0.0,0.0,0.0,,,4.0,3.0,1.0,0.0,1.0,0.0,1.0,32,50,14.0,0,0,1,1,3.0,2.0,3.0,1.0,1.0,12,1345
r_2ur2onvjcos5tf6,60ff26e2e30862fdb8531934,42.0,60.0,24.0,126.0,4,21,7,6,45.0,11.0,15.0,1.0,0.0,0.0,1.0,1.0,,,3.0,10.0,1.0,0.0,0.0,0.0,1.0,29,29,14.0,0,0,1,0,2.0,5.0,4.0,0.0,1.0,11,976
r_2eoktnpchawpski,61733f996efe9286b361c558,50.0,68.0,40.0,158.0,6,31,9,7,41.0,24.0,15.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,21,19,14.0,0,0,2,1,3.0,4.0,3.0,1.0,0.0,12,722
r_1exhloltgfgvtjm,6108d548994b33c417508604,49.0,68.0,40.0,157.0,3,28,0,0,15.0,28.0,15.0,1.0,1.0,0.0,0.0,1.0,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,21,18,15.0,0,0,1,0,5.0,5.0,5.0,1.0,1.0,10,871
r_10z5p09mtjhh7nr,6109c368656980a1609329ed,49.0,65.0,37.0,151.0,5,28,7,6,33.0,20.0,13.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,50.0,1.0,23,19,16.0,0,0,4,0,4.0,3.0,4.0,0.0,1.0,10,1361
r_algwqjz6b5ylt73,61329758a6a8f07ab3d640cf,46.0,68.0,36.0,150.0,4,21,7,4,37.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,,,1.0,3.0,1.0,0.0,1.0,0.0,1.0,33,25,16.0,1,0,1,1,2.0,2.0,1.0,0.0,0.0,8,479
r_3oghzuxrgzagwno,616cdff0a4ce08d22d044d77,45.0,68.0,39.0,152.0,5,19,6,6,23.0,24.0,14.0,1.0,1.0,0.0,0.0,0.0,,,3.0,0.0,1.0,0.0,1.0,30.0,0.0,19,17,12.0,1,0,1,0,4.0,5.0,4.0,0.0,1.0,14,911
r_1rabwdv3okzbtv5,6018c91e4783631d2676717f,50.0,68.0,40.0,158.0,6,26,8,7,26.0,23.0,12.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,1.0,40.0,1.0,23,18,16.0,1,0,1,1,3.0,4.0,4.0,1.0,0.0,10,975
r_21c5zeqrqly6ltr,5f6f738fef894f0dbf9839f8,50.0,68.0,38.0,156.0,7,31,9,7,14.0,27.0,14.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,100.0,0.0,31,31,18.0,1,0,1,1,4.0,4.0,4.0,1.0,1.0,10,2121
r_24mct2f3nxreyq1,575454cbae3fc40006e1d933,46.0,66.0,36.0,148.0,4,32,8,5,48.0,12.0,15.0,1.0,1.0,0.0,1.0,0.0,,,1.0,0.0,1.0,0.0,1.0,2.0,1.0,30,50,16.0,1,0,1,0,3.0,4.0,2.0,1.0,0.0,16,1152
